Date,Actual,ARIMA_Pred,Prophet_Pred,LSTM_Pred
2025-12-12,90270.4140625,67268.96642471604,68145.58527663832,81236.29
2025-12-13,90298.7109375,67268.96642471604,68143.51682930294,82388.88
2025-12-14,88175.1796875,67268.96642471604,68248.52365625084,83374.22
2025-12-15,86419.78125,67268.96642471604,68190.67574877031,83821.56
2025-12-16,87843.984375,67268.96642471604,68227.75426904288,83685.02
2025-12-17,86143.7578125,67268.96642471604,68257.83929954746,82818.48
2025-12-18,85462.5078125,67268.96642471604,68291.9078603143,82403.0
2025-12-19,88103.3828125,67268.96642471604,68328.52589843766,82164.22
2025-12-20,88344.0,67268.96642471604,68326.48787672645,82201.195
2025-12-21,88621.75,67268.96642471604,68427.93814051842,82587.555
2025-12-22,88490.015625,67268.96642471604,68363.72771608258,82845.266
2025-12-23,87414.0,67268.96642471604,68392.43872227598,82511.695
2025-12-24,87611.9609375,67268.96642471604,68412.94790147485,82937.72
2025-12-25,87234.7421875,67268.96642471604,68437.00198252469,82754.516
2025-12-26,87301.4296875,67268.96642471604,68463.88920560428,83222.086
2025-12-27,87802.15625,67268.96642471604,68453.0611697457,84214.65
2025-12-28,87835.8359375,67268.96642471604,68547.23961001624,85065.4
2025-12-29,87138.140625,67268.96642471604,68477.76206928217,85750.875
2025-12-30,88430.1328125,67268.96642471604,68503.59883455109,87300.18
2025-12-31,87508.828125,67268.96642471604,68523.91270639167,87894.516
2026-01-01,88731.984375,67268.96642471604,68550.63425223717,86422.83
2026-01-02,89944.6953125,67268.96642471604,68583.13669245825,85223.766
2026-01-03,90603.1875,67268.96642471604,68580.86428896087,84609.266
2026-01-04,91413.4921875,67268.96642471604,68686.44845480763,84578.45
